Events,Location,Date,R_fighter,B_fighter,Winner,R_odds,B_odds,Favorite,Who_won
UFC 251,Yas Island,2020-07-11,Kamaru Usman,Jorge Masvidal,Kamaru Usman,-208,231,Kamaru Usman,favorite
UFC 251,Yas Island,2020-07-11,Alex Volkanovski,Max Holloway,Alex Volkanovski,-200,194,Alex Volkanovski,favorite
UFC 251,Yas Island,2020-07-11,Petr Yan,Jose Aldo,Petr Yan,-204,200,Petr Yan,favorite
UFC 251,Yas Island,2020-07-11,Rose Namajunas,Jessica Andrade,Rose Namajunas,-189,186,Rose Namajunas,favorite
UFC 251,Yas Island,2020-07-11,Paige VanZant,Amanda Ribas,Amanda Ribas,675,-588,Amanda Ribas,favorite
UFC 251,Yas Island,2020-07-11,Volkan Oezdemir,Jiri Prochazka,Jiri Prochazka,-147,135,Volkan Oezdemir,underdog
UFC 251,Yas Island,2020-07-11,Elizeu Zaleski dos Santos,Muslim Salikhov,Muslim Salikhov,118,-123,Muslim Salikhov,favorite
UFC 251,Yas Island,2020-07-11,Danny Henry,Makwan Amirkhani,Makwan Amirkhani,180,-189,Makwan Amirkhani,favorite
UFC 251,Yas Island,2020-07-11,Leonardo Santos,Roman Bogatov,Leonardo Santos,-167,160,Leonardo Santos,favorite
UFC 251,Yas Island,2020-07-11,Marcin Tybura,Maxim Grishin,Marcin Tybura,-105,-102,Marcin Tybura,favorite
UFC 251,Yas Island,2020-07-11,Raulian Paiva,Zhalgas Zhumagulov,Raulian Paiva,-167,153,Raulian Paiva,favorite
UFC 251,Yas Island,2020-07-11,Vanessa Melo,Karol Rosa,Karol Rosa,211,-227,Karol Rosa,favorite
UFC 251,Yas Island,2020-07-11,Martin Day,Davey Grant,Davey Grant,-156,160,Martin Day,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Calvin Kattar,Dan Ige,Calvin Kattar,-263,250,Calvin Kattar,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Tim Elliott,Ryan Benoit,Tim Elliott,-125,125,Tim Elliott,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Jimmie Rivera,Cody Stamann,Jimmie Rivera,-125,120,Jimmie Rivera,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Molly McCann,Taila Santos,Taila Santos,-143,133,Molly McCann,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Abdul Razak Alhassan,Mounir Lazzez,Mounir Lazzez,-312,285,Abdul Razak Alhassan,underdog
UFC Fight Island 1,Yas Island,2020-07-15,John Phillips,Khamzat Chimaev,Khamzat Chimaev,309,-345,Khamzat Chimaev,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Ricardo Ramos,Lerone Murphy,Lerone Murphy,-149,147,Ricardo Ramos,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Modestas Bukauskas,Andreas Michailidis,Modestas Bukauskas,-164,155,Modestas Bukauskas,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Jared Gordon,Chris Fishgold,Jared Gordon,-141,135,Jared Gordon,favorite
UFC Fight Island 1,Yas Island,2020-07-15,Liana Jojua,Diana Belbita,Liana Jojua,165,-175,Diana Belbita,underdog
UFC Fight Island 1,Yas Island,2020-07-15,Jack Shore,Aaron Phillips,Jack Shore,-714,580,Jack Shore,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Deiveson Figueiredo,Joseph Benavidez,Deiveson Figueiredo,-227,205,Deiveson Figueiredo,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Jack Hermansson,Kelvin Gastelum,Jack Hermansson,-102,100,Jack Hermansson,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Marc Diakiese,Rafael Fiziev,Rafael Fiziev,-175,186,Marc Diakiese,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Ariane da Silva,Luana Carolina,Ariane da Silva,-111,115,Ariane da Silva,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Alexandre Pantoja,Askar Askarov,Askar Askarov,-175,180,Alexandre Pantoja,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Khadis Ibragimov,Roman Dolidze,Roman Dolidze,145,-147,Roman Dolidze,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Grant Dawson,Nad Narimani,Grant Dawson,-278,263,Grant Dawson,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Joseph Duffy,Joel Alvarez,Joel Alvarez,-238,230,Joseph Duffy,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Brett Johns,Montel Jackson,Brett Johns,241,-250,Montel Jackson,underdog
UFC Fight Island 2,Yas Island,2020-07-18,Amir Albazi,Malcolm Gordon,Amir Albazi,-132,134,Amir Albazi,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Davi Ramos,Arman Tsarukyan,Arman Tsarukyan,226,-222,Arman Tsarukyan,favorite
UFC Fight Island 2,Yas Island,2020-07-18,Carlos Felipe,Sergey Spivak,Sergey Spivak,175,-175,Sergey Spivak,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Robert Whittaker,Darren Till,Robert Whittaker,-127,115,Robert Whittaker,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Mauricio Rua,Rogerio Nogueira,Mauricio Rua,-179,170,Mauricio Rua,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Alexander Gustafsson,Fabricio Werdum,Fabricio Werdum,-333,294,Alexander Gustafsson,underdog
UFC Fight Island 3,Yas Island,2020-07-25,Marina Alcalde Rodriguez,Carla Esparza,Carla Esparza,-169,158,Marina Alcalde Rodriguez,underdog
UFC Fight Island 3,Yas Island,2020-07-25,Paul Craig,Gadzhimurad Antigulov,Paul Craig,-125,118,Paul Craig,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Peter Sobotta,Alex Oliveira,Alex Oliveira,150,-156,Alex Oliveira,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Khamzat Chimaev,Rhys McKee,Khamzat Chimaev,-1111,900,Khamzat Chimaev,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Francisco Trinaldo,Jai Herbert,Francisco Trinaldo,-127,130,Francisco Trinaldo,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Nicolas Dalby,Jesse Ronson,Jesse Ronson,-233,225,Nicolas Dalby,underdog
UFC Fight Island 3,Yas Island,2020-07-25,Jake Collier,Tom Aspinall,Tom Aspinall,206,-222,Tom Aspinall,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Mike Grundy,Movsar Evloev,Movsar Evloev,174,-179,Movsar Evloev,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Tanner Boser,Raphael Pessoa,Tanner Boser,-250,236,Tanner Boser,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Bethe Correia,Pannie Kianzad,Pannie Kianzad,143,-145,Pannie Kianzad,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Nathaniel Wood,John Castaneda,Nathaniel Wood,-417,362,Nathaniel Wood,favorite
UFC Fight Island 3,Yas Island,2020-07-25,Ramazan Emeev,Niklas Stolze,Ramazan Emeev,-385,348,Ramazan Emeev,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Edmen Shahbazyan,Derek Brunson,Derek Brunson,-345,315,Edmen Shahbazyan,underdog
UFC Vegas 5,Las Vegas,2020-08-01,Jennifer Maia,Joanne Wood,Jennifer Maia,180,-189,Joanne Wood,underdog
UFC Vegas 5,Las Vegas,2020-08-01,Vicente Luque,Randy Brown,Vicente Luque,-185,180,Vicente Luque,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Lando Vannata,Bobby Green,Bobby Green,-132,135,Lando Vannata,underdog
UFC Vegas 5,Las Vegas,2020-08-01,Jonathan Martinez,Frankie Saenz,Jonathan Martinez,-238,215,Jonathan Martinez,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Johnny Munoz,Nathan Maness,Nathan Maness,100,-108,Nathan Maness,favorite
UFC Vegas 5,Las Vegas,2020-08-01,Jamall Emmers,Vince Cachero,Jamall Emmers,-455,415,Jamall Emmers,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Derrick Lewis,Aleksei Oleinik,Derrick Lewis,-192,180,Derrick Lewis,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Chris Weidman,Omari Akhmedov,Chris Weidman,-141,138,Chris Weidman,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Darren Stewart,Maki Pitolo,Darren Stewart,-175,169,Darren Stewart,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Yana Santos,Julija Stoliarenko,Yana Santos,-154,145,Yana Santos,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Beneil Dariush,Scott Holtzman,Beneil Dariush,-196,210,Beneil Dariush,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Laureano Staropoli,Tim Means,Tim Means,-143,140,Laureano Staropoli,underdog
UFC Vegas 6,Las Vegas,2020-08-08,Kevin Holland,Joaquin Buckley,Kevin Holland,-435,394,Kevin Holland,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Nasrat Haqparast,Alex Munoz,Nasrat Haqparast,-233,236,Nasrat Haqparast,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Wellington Turman,Andrew Sanchez,Andrew Sanchez,-115,120,Wellington Turman,underdog
UFC Vegas 6,Las Vegas,2020-08-08,Justin Jaynes,Gavin Tucker,Gavin Tucker,115,-109,Gavin Tucker,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Peter Barrett,Youssef Zalal,Youssef Zalal,445,-500,Youssef Zalal,favorite
UFC Vegas 6,Las Vegas,2020-08-08,Irwin Rivera,Ali Al Qaisi,Irwin Rivera,-149,150,Irwin Rivera,favorite
UFC 252,Las Vegas,2020-08-15,Stipe Miocic,Daniel Cormier,Stipe Miocic,112,-108,Daniel Cormier,underdog
UFC 252,Las Vegas,2020-08-15,Sean O'Malley,Marlon Vera,Marlon Vera,-278,250,Sean O'Malley,underdog
UFC 252,Las Vegas,2020-08-15,Junior dos Santos,Jairzinho Rozenstruik,Jairzinho Rozenstruik,128,-125,Jairzinho Rozenstruik,favorite
UFC 252,Las Vegas,2020-08-15,Herbert Burns,Daniel Pineda,Daniel Pineda,-263,252,Herbert Burns,underdog
UFC 252,Las Vegas,2020-08-15,John Dodson,Merab Dvalishvili,Merab Dvalishvili,246,-263,Merab Dvalishvili,favorite
UFC 252,Las Vegas,2020-08-15,Jim Miller,Vinc Pichel,Vinc Pichel,113,-120,Vinc Pichel,favorite
UFC 252,Las Vegas,2020-08-15,Felice Herrig,Virna Jandiroba,Virna Jandiroba,275,-286,Virna Jandiroba,favorite
UFC 252,Las Vegas,2020-08-15,T.J. Brown,Danny Chavez,Danny Chavez,-132,130,T.J. Brown,underdog
UFC 252,Las Vegas,2020-08-15,Livia Renata Souza,Ashley Yoder,Livia Renata Souza,-182,180,Livia Renata Souza,favorite
UFC 252,Las Vegas,2020-08-15,Chris Daukaus,Parker Porter,Chris Daukaus,100,113,Chris Daukaus,favorite
UFC 252,Las Vegas,2020-08-15,Kai Kamaka,Tony Kelley,Kai Kamaka,-233,231,Kai Kamaka,favorite
UFC Vegas 7,Las Vegas,2020-08-22,Pedro Munhoz,Frankie Edgar,Frankie Edgar,-238,231,Pedro Munhoz,underdog
UFC Vegas 7,Las Vegas,2020-08-22,Mike Rodriguez,Marcin Prachnio,Mike Rodriguez,-208,206,Mike Rodriguez,favorite
UFC Vegas 7,Las Vegas,2020-08-22,Austin Hubbard,Joe Solecki,Joe Solecki,-115,110,Austin Hubbard,underdog
UFC Vegas 7,Las Vegas,2020-08-22,Mariya Agapova,Shana Dobson,Shana Dobson,-1000,971,Mariya Agapova,underdog
UFC Vegas 7,Las Vegas,2020-08-22,Dwight Grant,Daniel Rodriguez,Daniel Rodriguez,175,-182,Daniel Rodriguez,favorite
UFC Vegas 7,Las Vegas,2020-08-22,Mizuki Inoue,Amanda Lemos,Amanda Lemos,-154,138,Mizuki Inoue,underdog
UFC Vegas 7,Las Vegas,2020-08-22,Ike Villanueva,Jordan Wright,Jordan Wright,105,-108,Jordan Wright,favorite
UFC Vegas 7,Las Vegas,2020-08-22,Timur Valiev,Trevin Jones,Trevin Jones,-556,924,Timur Valiev,underdog
UFC Fight Night 182,Las Vegas,2020-08-29,Anthony Smith,Aleksandar Rakic,Aleksandar Rakic,225,-233,Aleksandar Rakic,favorite
UFC Fight Night 182,Las Vegas,2020-08-29,Robbie Lawler,Neil Magny,Neil Magny,212,-227,Neil Magny,favorite
UFC Fight Night 182,Las Vegas,2020-08-29,Alexa Grasso,Ji Yeon Kim,Alexa Grasso,-256,238,Alexa Grasso,favorite
UFC Fight Night 182,Las Vegas,2020-08-29,Bill Algeo,Ricardo Lamas,Ricardo Lamas,240,-244,Ricardo Lamas,favorite
UFC Fight Night 182,Las Vegas,2020-08-29,Impa Kasanganay,Maki Pitolo,Impa Kasanganay,-139,135,Impa Kasanganay,favorite
UFC Fight Night 182,Las Vegas,2020-08-29,Zak Cummings,Alessio Di Chirico,Zak Cummings,120,-127,Alessio Di Chirico,underdog
UFC Fight Night 182,Las Vegas,2020-08-29,Austin Springer,Alex Caceres,Alex Caceres,180,-185,Alex Caceres,favorite
UFC Fight Night 182,Las Vegas,2020-08-29,Sean Brady,Christian Aguilera,Sean Brady,-417,373,Sean Brady,favorite
UFC Fight Night 182,Las Vegas,2020-08-29,Polyana Viana,Emily Whitmire,Polyana Viana,123,-130,Emily Whitmire,underdog
UFC Fight Night 182,Las Vegas,2020-08-29,Mallory Martin,Hannah Cifers,Mallory Martin,-294,265,Mallory Martin,favorite
UFC Fight Night 183,Las Vegas,2020-09-05,Alistair Overeem,Augusto Sakai,Alistair Overeem,-156,150,Alistair Overeem,favorite
UFC Fight Night 183,Las Vegas,2020-09-05,Ovince St Preux,Alonzo Menifield,Ovince St Preux,143,-135,Alonzo Menifield,underdog
UFC Fight Night 183,Las Vegas,2020-09-05,Michel Pereira,Zelim Imadaev,Michel Pereira,-135,138,Michel Pereira,favorite
UFC Fight Night 183,Las Vegas,2020-09-05,Bartosz Fabinski,Andre Muniz,Andre Muniz,-141,134,Bartosz Fabinski,underdog
UFC Fight Night 183,Las Vegas,2020-09-05,Brian Kelleher,Ray Rodriguez,Brian Kelleher,-357,325,Brian Kelleher,favorite
UFC Fight Night 183,Las Vegas,2020-09-05,Montana De La Rosa,Viviane Araujo,Viviane Araujo,175,-185,Viviane Araujo,favorite
UFC Fight Night 183,Las Vegas,2020-09-05,Cole Smith,Hunter Azure,Hunter Azure,236,-244,Hunter Azure,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Colby Covington,Tyron Woodley,Colby Covington,-286,290,Colby Covington,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Khamzat Chimaev,Gerald Meerschaert,Khamzat Chimaev,-400,355,Khamzat Chimaev,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Johnny Walker,Ryan Spann,Johnny Walker,-120,115,Johnny Walker,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Mackenzie Dern,Randa Markos,Mackenzie Dern,-154,147,Mackenzie Dern,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Kevin Holland,Darren Stewart,Kevin Holland,-263,240,Kevin Holland,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Jordan Espinosa,David Dvorak,David Dvorak,-103,-105,David Dvorak,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Mirsad Bektic,Damon Jackson,Damon Jackson,-333,305,Mirsad Bektic,underdog
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Mayra Bueno Silva,Mara Romero Borella,Mayra Bueno Silva,-263,240,Mayra Bueno Silva,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Jessica-Rose Clark,Sarah Alpar,Jessica-Rose Clark,-200,188,Jessica-Rose Clark,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Journey Newson,Randy Costa,Randy Costa,-122,118,Journey Newson,underdog
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Andre Ewell,Irwin Rivera,Andre Ewell,-208,205,Andre Ewell,favorite
UFC FN - Covington vs Woodley,Las Vegas,2020-09-19,Tyson Nam,Jerome Rivera,Tyson Nam,-175,170,Tyson Nam,favorite
UFC 253,Yas Island,2020-09-26,Israel Adesanya,Paulo Costa,Israel Adesanya,-169,165,Israel Adesanya,favorite
UFC 253,Yas Island,2020-09-26,Dominick Reyes,Jan Blachowicz,Jan Blachowicz,-238,230,Dominick Reyes,underdog
UFC 253,Yas Island,2020-09-26,Kai Kara-France,Brandon Royval,Brandon Royval,-189,195,Kai Kara-France,underdog
UFC 253,Yas Island,2020-09-26,Ketlen Vieira,Sijara Eubanks,Ketlen Vieira,-189,180,Ketlen Vieira,favorite
UFC 253,Yas Island,2020-09-26,Hakeem Dawodu,Zubaira Tukhugov,Hakeem Dawodu,125,-125,Zubaira Tukhugov,underdog
UFC 253,Yas Island,2020-09-26,Brad Riddell,Alex da Silva,Brad Riddell,-294,260,Brad Riddell,favorite
UFC 253,Yas Island,2020-09-26,Diego Sanchez,Jake Matthews,Jake Matthews,575,-625,Jake Matthews,favorite
UFC 253,Yas Island,2020-09-26,Ludovit Klein,Shane Young,Ludovit Klein,-120,110,Ludovit Klein,favorite
UFC 253,Yas Island,2020-09-26,William Knight,Aleksa Camur,William Knight,150,-147,Aleksa Camur,underdog
UFC 253,Yas Island,2020-09-26,Juan Espino,Jeff Hughes,Juan Espino,-294,265,Juan Espino,favorite
UFC 253,Yas Island,2020-09-26,Khadis Ibragimov,Danilo Marques,Danilo Marques,-172,162,Khadis Ibragimov,underdog
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Holly Holm,Irene Aldana,Holly Holm,-115,110,Holly Holm,favorite
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Yorgan De Castro,Carlos Felipe,Carlos Felipe,-222,205,Yorgan De Castro,underdog
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Germaine de Randamie,Julianna Pena,Germaine de Randamie,-145,135,Germaine de Randamie,favorite
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Cameron Else,Kyler Phillips,Kyler Phillips,410,-455,Kyler Phillips,favorite
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Dequan Townsend,Dusko Todorovic,Dusko Todorovic,310,-333,Dusko Todorovic,favorite
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Carlos Condit,Court McGee,Carlos Condit,110,-120,Court McGee,underdog
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Jordan Williams,Nassourdine Imavov,Nassourdine Imavov,-125,115,Jordan Williams,underdog
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Jinh Yu Frey,Loma Lookboonmee,Loma Lookboonmee,140,-149,Loma Lookboonmee,favorite
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Casey Kenney,Heili Alateng,Casey Kenney,-312,300,Casey Kenney,favorite
UFC FN - Holm vs Aldana,Yas Island,2020-10-04,Jessin Ayari,Luigi Vendramini,Luigi Vendramini,-110,103,Jessin Ayari,underdog
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Chan Sung Jung,Brian Ortega,Brian Ortega,-185,175,Chan Sung Jung,underdog
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Katlyn Cerminara,Jessica Andrade,Jessica Andrade,145,-152,Jessica Andrade,favorite
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Modestas Bukauskas,Jim Crute,Jim Crute,260,-278,Jim Crute,favorite
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Claudio Silva,James Krause,James Krause,135,-135,James Krause,favorite
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Thomas Almeida,Jonathan Martinez,Jonathan Martinez,-120,125,Thomas Almeida,underdog
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Mateusz Gamrot,Guram Kutateladze,Guram Kutateladze,-294,260,Mateusz Gamrot,underdog
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Gillian Robertson,Poliana Botelho,Gillian Robertson,-200,185,Gillian Robertson,favorite
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Jun Yong Park,John Phillips,Jun Yong Park,-263,240,Jun Yong Park,favorite
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Jamie Mullarkey,Fares Ziam,Fares Ziam,-123,125,Jamie Mullarkey,underdog
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Gadzhimurad Antigulov,Maxim Grishin,Maxim Grishin,310,-333,Maxim Grishin,favorite
UFC FN - Ortega vs Zombie,Yas Island,2020-10-17,Mark Striegl,Said Nurmagomedov,Said Nurmagomedov,335,-370,Said Nurmagomedov,favorite
UFC 254,Yas Island,2020-10-24,Khabib Nurmagomedov,Justin Gaethje,Khabib Nurmagomedov,-294,279,Khabib Nurmagomedov,favorite
UFC 254,Yas Island,2020-10-24,Robert Whittaker,Jared Cannonier,Robert Whittaker,-102,-108,Jared Cannonier,underdog
UFC 254,Yas Island,2020-10-24,Alexander Volkov,Walt Harris,Alexander Volkov,-169,160,Alexander Volkov,favorite
UFC 254,Yas Island,2020-10-24,Phil Hawes,Jacob Malkoun,Phil Hawes,-222,208,Phil Hawes,favorite
UFC 254,Yas Island,2020-10-24,Liliya Shakirova,Lauren Murphy,Lauren Murphy,180,-192,Lauren Murphy,favorite
UFC 254,Yas Island,2020-10-24,Magomed Ankalaev,Ion Cutelaba,Magomed Ankalaev,-303,275,Magomed Ankalaev,favorite
UFC 254,Yas Island,2020-10-24,Stefan Struve,Tai Tuivasa,Tai Tuivasa,105,-105,Tai Tuivasa,favorite
UFC 254,Yas Island,2020-10-24,Casey Kenney,Nathaniel Wood,Casey Kenney,-167,154,Casey Kenney,favorite
UFC 254,Yas Island,2020-10-24,Alex Oliveira,Shavkat Rakhmonov,Shavkat Rakhmonov,105,-111,Shavkat Rakhmonov,favorite
UFC 254,Yas Island,2020-10-24,Liana Jojua,Miranda Maverick,Miranda Maverick,350,-357,Miranda Maverick,favorite
UFC 254,Yas Island,2020-10-24,Alexander Yakovlev,Joel Alvarez,Joel Alvarez,150,-161,Joel Alvarez,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Anderson Silva,Urijah Hall,Urijah Hall,195,-213,Urijah Hall,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Bryce Mitchell,Andre Fili,Bryce Mitchell,-123,115,Bryce Mitchell,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Greg Hardy,Maurice Greene,Greg Hardy,-294,267,Greg Hardy,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Kevin Holland,Charlie Ontiveros,Kevin Holland,-667,550,Kevin Holland,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Bobby Green,Thiago Moises,Thiago Moises,-286,265,Bobby Green,underdog
UFC Vegas 12,Las Vegas,2020-10-31,Chris Gruetzemacher,Alexander Hernandez,Alexander Hernandez,365,-400,Alexander Hernandez,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Adrian Yanez,Victor Rodriguez,Adrian Yanez,-400,405,Adrian Yanez,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Sean Strickland,Jack Marshman,Sean Strickland,-345,320,Sean Strickland,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Jason Witt,Cole Williams,Jason Witt,-145,135,Jason Witt,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Dustin Jacoby,Justin Ledet,Dustin Jacoby,-333,320,Dustin Jacoby,favorite
UFC Vegas 12,Las Vegas,2020-10-31,Miles Johns,Kevin Natividad,Miles Johns,-145,140,Miles Johns,favorite
UFC Vegas 13,Las Vegas,2020-11-08,Thiago Santos,Glover Teixeira,Glover Teixeira,-227,207,Thiago Santos,underdog
UFC Vegas 13,Las Vegas,2020-11-08,Tanner Boser,Andrei Arlovski,Andrei Arlovski,-303,275,Tanner Boser,underdog
UFC Vegas 13,Las Vegas,2020-11-08,Raoni Barcelos,Khalid Taha,Raoni Barcelos,-345,320,Raoni Barcelos,favorite
UFC Vegas 13,Las Vegas,2020-11-08,Giga Chikadze,Jamey Simmons,Giga Chikadze,-625,600,Giga Chikadze,favorite
UFC Vegas 13,Las Vegas,2020-11-08,Claudia Gadelha,Yan Xiaonan,Yan Xiaonan,145,-154,Yan Xiaonan,favorite
UFC Vegas 13,Las Vegas,2020-11-08,Trevin Giles,Bevon Lewis,Trevin Giles,105,-111,Bevon Lewis,underdog
UFC Vegas 13,Las Vegas,2020-11-08,Marcos Rogerio de Lima,Alexander Romanov,Alexander Romanov,380,-400,Alexander Romanov,favorite
UFC Vegas 13,Las Vegas,2020-11-08,Darren Elkins,Luiz Garagorri,Darren Elkins,-233,215,Darren Elkins,favorite
UFC Vegas 13,Las Vegas,2020-11-08,Max Griffin,Ramiz Brahimaj,Max Griffin,-130,120,Max Griffin,favorite
UFC Vegas 13,Las Vegas,2020-11-08,Gustavo Lopez,Anthony Birchak,Gustavo Lopez,-118,106,Gustavo Lopez,favorite
UFC Vegas 14,Las Vegas,2020-11-14,Rafael dos Anjos,Paul Felder,Rafael dos Anjos,-179,170,Rafael dos Anjos,favorite
UFC Vegas 14,Las Vegas,2020-11-14,Abdul Razak Alhassan,Kalinn Williams,Kalinn Williams,-204,190,Abdul Razak Alhassan,underdog
UFC Vegas 14,Las Vegas,2020-11-14,Ashley Yoder,Miranda Granger,Ashley Yoder,140,-149,Miranda Granger,underdog
UFC Vegas 14,Las Vegas,2020-11-14,Sean Strickland,Brendan Allen,Sean Strickland,100,-105,Brendan Allen,underdog
UFC Vegas 14,Las Vegas,2020-11-14,Kay Hansen,Cory McKenna,Cory McKenna,-185,180,Kay Hansen,underdog
UFC Vegas 14,Las Vegas,2020-11-14,Randa Markos,Kanako Murata,Kanako Murata,170,-175,Kanako Murata,favorite
UFC Vegas 14,Las Vegas,2020-11-14,Tony Gravely,Geraldo De Freitas Jr.,Tony Gravely,-135,135,Tony Gravely,favorite
UFC Vegas 14,Las Vegas,2020-11-14,Alex Morono,Rhys McKee,Alex Morono,-169,160,Alex Morono,favorite
UFC Vegas 14,Las Vegas,2020-11-14,Don'tale Mayes,Roque Martinez,Don'tale Mayes,-227,210,Don'tale Mayes,favorite
UFC 255,Las Vegas,2020-11-21,Deiveson Figueiredo,Alex Perez,Deiveson Figueiredo,-286,295,Deiveson Figueiredo,favorite
UFC 255,Las Vegas,2020-11-21,Valentina Shevchenko,Jennifer Maia,Valentina Shevchenko,-1250,996,Valentina Shevchenko,favorite
UFC 255,Las Vegas,2020-11-21,Tim Means,Mike Perry,Tim Means,133,-145,Mike Perry,underdog
UFC 255,Las Vegas,2020-11-21,Katlyn Cerminara,Cynthia Calvillo,Katlyn Cerminara,226,-250,Cynthia Calvillo,underdog
UFC 255,Las Vegas,2020-11-21,Mauricio Rua,Paul Craig,Paul Craig,150,-161,Paul Craig,favorite
UFC 255,Las Vegas,2020-11-21,Brandon Royval,Brandon Moreno,Brandon Moreno,169,-185,Brandon Moreno,favorite
UFC 255,Las Vegas,2020-11-21,Joaquin Buckley,Jordan Wright,Joaquin Buckley,-250,226,Joaquin Buckley,favorite
UFC 255,Las Vegas,2020-11-21,Antonina Shevchenko,Ariane da Silva,Antonina Shevchenko,-149,145,Antonina Shevchenko,favorite
UFC 255,Las Vegas,2020-11-21,Nicolas Dalby,Daniel Rodriguez,Nicolas Dalby,263,-303,Daniel Rodriguez,underdog
UFC 255,Las Vegas,2020-11-21,Alan Jouban,Jared Gooden,Alan Jouban,-135,125,Alan Jouban,favorite
UFC 255,Las Vegas,2020-11-21,Kyle Daukaus,Dustin Stoltzfus,Kyle Daukaus,-278,252,Kyle Daukaus,favorite
